pmid,title_e,journal,abstract,topic
34881263,Persistence of Symptoms After Discharge of Patients Hospitalized Due to COVID-19.,Front Med (Lausanne),"Many patients who had coronavirus disease 2019 (COVID-19) had at least one symptom that persisted after recovery from the acute phase. Our purpose was to review the empirical evidence on symptom prevalence, complications, and management of patients with long COVID. We systematically reviewed the literature on the clinical manifestations of long COVID-19, defined by the persistence of symptoms beyond the acute phase of infection. Bibliographic searches in PubMed and Google Scholar were conducted to retrieve relevant studies on confirmed patients with long COVID that were published prior to August 30, 2021. The most common persistent symptoms were fatigue, cough, dyspnea, chest pains, chest tightness, joint pain, muscle pain, loss of taste or smell, hair loss, sleep difficulties, anxiety, and depression. Some of the less common persistent symptoms were skin rash, decreased appetite, sweating, inability to concentrate, and memory lapses. In addition to these general symptoms, some patients experienced dysfunctions of specific organs, mainly the lungs, heart, kidneys, and nervous system. A comprehensive understanding of the persistent clinical manifestations of COVID-19 can improve and facilitate patient management and referrals. Prompt rehabilitative care and targeted interventions of these patients may improve their recovery from physical, immune, and mental health symptoms.",rash
34881262,Case Report: Infantile Bullous Pemphigoid: Triggering by COVID-19 Is Speculative.,Front Med (Lausanne),"Bullous pemphigoid (BP) is a cutaneous disease triggered by numerous stimuli, where genetic milieu-influenced autoimmunity to hemidesmosomal proteins, namely, BP180 and/or BP230 initiate an inflammation leading to dermal-epidermal junction (DEJ) enzymatic pathological remodelling. Here, to the best of our knowledge, we present the first case of an infantile BP apparently triggered by COVID-19. BP should be included in differential diagnosis of infantile rashes showing blisters or vesicles or both as well as their prodromal and evolutionary lesions. Possible triggers, such as coronavirus disease 2019 (COVID-19), of BP in infancy should be identified and properly dealt with.",rash
34881206,An Arab Adolescent with Multisystem Inflammatory Syndrome Associated with COVID-19: A Report from Syria.,Avicenna J Med,"Multisystem inflammatory syndrome in children (MIS-C) is a rare and critical condition that affects children following exposure to severe acute respiratory syndrome Coronavirus 2 (SARS-CoV-2) infection, leading to multiorgan dysfunction and shock. MIS-C has been reported from different parts of the world but rarely from Arab countries. In this report, we describe a 15-year-old Arab boy who was admitted to the ICU during the surge of Coronavirus transmission in Syria with a clinical picture consistent with MIS-C, including high-grade fever, gastrointestinal symptoms, rash, multiorgan dysfunction, and shock. Laboratory profile showed significant elevation of inflammatory markers, negative SARS-CoV-2 RT-PCR testing but positive serologic testing for SARS-CoV-2. The patient received intravenous immunoglobulins (IVIG) and glucocorticoids with remarkable cardiac improvement and significant alleviation in inflammatory markers. To our knowledge, this is the first reported case of MIS-C from Syria, which adds to the epidemiological data about this new syndrome.",rash
34880971,Drug-induced lichenoid exanthema by a vaccine against COVID-19 (Vaxzevria).,Dermatol Reports,"A 66-year-old white female presented with a generalized, erythematous, and itchy eruption for 3 days after. She reported having fever on the first day of eruption, complaints of asthenia, and anorexia with no other systemic symptoms. She received her first dose of Vaxzevria (AstraZeneca, Cambridge, UK) against COVID-19 three weeks prior. The eruption started on the right arm at the vaccine injection site and then spread progressively throughout the entire body. We noticed multiform erythema- like patches with three or four concentric circles with different shades of redness. Anatomopathological analysis indicated a lichenoid histological pattern compatible with adverse event of vaccine. Degressive general corticotherapy was prescribed with an improvement of the symptomatology and complete healing in ten days. Physicians should be aware if this rare adverse event. Drug-induced lichenoid exanthema is considered a non-severe reaction and does not contraindicate the readministration of essential drugs. In this case, the patient refused the second injection of Vaxzevria.",rash
34863647,Effectiveness of monoclonal antibody therapy for COVID-19 patients using a risk scoring system.,J Infect Chemother,"INTRODUCTION: Monoclonal antibody therapy has been reported to be highly effective for preventing hospitalisation and severe cases in patients with Coronavirus Disease 2019 (COVID-19). However, since the drug is not readily available, it is important to rapidly and appropriately identify high-risk patients who can benefit most from therapy. Therefore, we designed a risk scoring system to identify at-risk COVID-19 patients in our region during the largest surge of COVID-19, from July to September 2021. METHODS: According to the risk scores, confirmed COVID-19 patients were introduced to receive REGN-CoV-2 to our hospital by regional health centre from 18th August (Term 3). The primary outcome was the comparison of the number of hospitalisation and severe condition with other periods, the 4th wave (Term 1) and the early part of the 5th wave (Term 2) in Japan. RESULTS: During Term 3, 115 patients were stratified with the scoring system and administered REGN-COV-2. The number of hospitalisation vs severe cases were 60 (5.2%) vs 14 (1.2%), 8 (1.5%) vs 3 (0.6%) and 21 (1.2%) vs 2 (0.1%), in term 1, 2 and 3, respectively. Among those aged <60 years, compared with term 1, the relative risk of hospitalisation and severe condition were 0.25 (95% CI: 0.12-0.53) and 0.10 (95% CI: 0.01-0.80), respectively, in term 3. Drug adverse events were fever (3: 2.6%), headache (1: 0.9%) and neck rash (1: 0.9%), all events were resolved within 24 h wth no serious adverse event. CONCLUSIONS: The administration of monoclonal antibody therapy using a risk scoring system significantly reduced the number of hospitalisation and disease severity of COVID-19 without any serious adverse events and avoided regional medical collapse.",rash
34855332,"Covid 19: A Prospective Observational Study on the Cutaneous Manifestations of Patients in Lagos, Nigeria.",West Afr J Med,"Background: Cutaneous manifestations of COVID-19 have been documented from Europe, USA, and China but none from Africa to date. Skin findings among Africans differ from Caucasians and it is important to report these in Nigerians with COVID-19. Methods: A prospective observational review involving patients seen at the Emergency triage, and Isolation wards of the Lagos University Teaching Hospital. Demographic and clinical data were captured; skin and appendages were examined by a dermatologist between 0800hrs and 1600hours to minimise visual errors of artificial light masking cutaneous lesions. Results: Of 235 participants, 17 (7.23%) had recent onset skin rash, with 7 (41.2%) experienced itching and 11 confirmed with COVID-19. There was a male: female ratio of 97:43 (2.3:1) among COVID-19 patients. Cutaneous findings were seen in 12 (5.1%) participants, with the face and trunk mostly affected and acne plus papular eruptions predominating. There was no significant relationship between COVID-19 and recent onset skin rash (chi2, p = 0.87). Only 2 of the 17 participants had a previously existing dermatoses ((chi2, p = 0.84). There was no significant relation between use of medications and onset of rashes (chi2, p = 0.72) or between those with co-morbidities and onset of rashes (chi2, p = 0.51). Conclusion: Cutaneous manifestations were found among Nigerian patients with SARS-CoV-2 infection. Most presented with pruritus and papular eruptions and no morphologic pattern was demonstrated. Physicians and dermatologists need to be aware and look out for skin changes in SARS-CoV-2 infection as they may be early pointers to COVID-19. Keywords: Cutaneous findings, manifestations, Skin, COVID-19, Nigeria.",rash
34854640,[A red and swollen arm after vaccination for covid-19].,Ned Tijdschr Geneeskd,"In this case report, we present a 41-year old male with a red rash on his arm 7 days post vaccination with the mRNA Moderna vaccine. While the patient received antibiotics for the suspicion of a cellulitis, this was actually a delayed type 4 local allergic reaction to the vaccine or a so called 'Covid arm'. This reaction occurs frequently, is usually self-limiting and a conservative treatment is recommended. Conflict of interest and financial support: none declared.",rash
34853740,Acute Appendicitis Associated With Kawasaki Disease: Case Report and Review of the Literature.,Cureus,"Acute appendicitis is a rare complication of Kawasaki disease in the setting of the absence of the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). We experienced a rare case of acute appendicitis associated with Kawasaki disease. The patient is a six-year-old male who was brought to the emergency department by his mother with a pruritic rash, nausea, vomiting, and abdominal pain. Given fever, tenderness in the right lower quadrant on physical examination, leukocytosis with bandemia, and a non-compressible and dilated appendix on ultrasound, he was diagnosed with acute appendicitis and was treated with a laparoscopic appendectomy. He developed persistent fevers after surgery with new lip swelling, mucositis, and bilateral conjunctival injection. Kawasaki disease was suspected and intravenous gammaglobulin and aspirin were administrated. He made a full recovery. This case suggests that careful examination is needed for accurate diagnosis, especially in patients with postoperative persistent fever without signs of intra-abdominal complications. We performed a PubMed literature search and reviewed eight cases of appendicitis associated with Kawasaki disease. Of note, this case was seen in 2018 before the SARS-CoV-2 pandemic and the description of multisystem inflammatory syndrome in children (MIS-C).",rash
34852213,Postvaccination Multisystem Inflammatory Syndrome in Adult with No Evidence of Prior SARS-CoV-2 Infection.,Emerg Infect Dis,"Ten days after receiving the first dose of coronavirus disease vaccine, a 22-year-old woman in South Korea experienced myocarditis, myopathy, pericarditis, and gastroenteritis; rash subsequently developed. There was no evidence of prior infection with severe acute respiratory syndrome coronavirus 2. The diagnosis was multisystem inflammatory syndrome resulting from coronavirus disease vaccination.",rash
34850910,Challenges in Diagnosing COVID-19 Related Disease in Pediatric Patients With Rheumatic Disease.,Mod Rheumatol,"OBJECTIVES: Multisystem inflammatory syndrome in children (MIS-C) is a rare but severe condition associated with coronavirus disease 2019 (COVID-19). Here we aimed to raise awareness for the symptoms of MIS-C in patients with rheumatic diseases, emphasizing the challenges of the differential features. METHODS: We retrospectively evaluated the demographic and clinical characteristics, laboratory and imaging findings, treatments, and outcomes of six MIS-C patients with previous rheumatic disease. RESULTS: Three of the patients had familial Mediterranean fever (FMF), one had juvenile dermatomyositis (JDM), one had systemic juvenile idiopathic arthritis (JIA), and another patient had oligoarticular JIA. All FMF patients presented with fever and abdominal pain, two also had chest pain. The patient with systemic JIA presented with fever, rash, and myalgia. All patients had elevated inflammatory markers and high d-dimer levels. Chest imaging of two FMF patients showed infiltrations compatible with pneumonia. One FMF patient had mildly decreased systolic functions with a shortening fraction of 48% in his echocardiography. Intravenous immunoglobulin and methylprednisolone were administered to all patients. Anakinra was given to four patients. CONCLUSIONS: Clinical and laboratory signs of MIS-C may overlap with the findings of various rheumatic diseases, and this may cause a delay in diagnosis.",rash
34845562,Long COVID from rheumatology perspective - a narrative review.,Clin Rheumatol,"Long-term sequel of acute COVID-19, commonly referred to as long COVID, has affected millions of patients worldwide. Long COVID patients display persistent or relapsing and remitting symptoms that include fatigue, breathlessness, cough, myalgia, arthralgia, sleep disturbance, cognitive impairment and skin rashes. Due to the shared clinical features, laboratory and imaging findings, long COVID could mimic rheumatic disease posing a diagnostic challenge. Our comprehensive literature review will help rheumatologist to be aware of long COVID manifestations and differentiating features from rheumatic diseases to ensure a timely and correct diagnosis is reached.",rash
34845526,Factors associated with hospital and intensive care admission in paediatric SARS-CoV-2 infection: a prospective nationwide observational cohort study.,Eur J Pediatr,"Coronavirus disease 2019 (COVID-19) is usually less severe in children compared to adults. This study describes detailed clinical characteristics, treatment and outcomes of children with COVID-19 in a non-hospitalised and hospitalised setting and quantifies factors associated with admission to hospital and intensive care unit in children with SARS-CoV-2 infection on a nationwide level. Data were collected through the Swiss Paediatric Surveillance Unit from children < 18 years with confirmed SARS-CoV-2 infection. All 33 paediatric hospitals in Switzerland reported non-hospitalised and hospitalised cases from March 1 to October 31, 2020 during both pandemic peaks. In total, 678 children were included. The median age was 12.2 years (IQR 5.0-14.6), 316 (46.6%) were female and 106 (15.6%) had comorbidities. Overall, 126 (18.6%) children were hospitalised of whom 16 (12.7%) required ICU admission. Comorbidities were the only factor associated with hospital admission in a multivariable regression analysis (odds ratio 3.23, 95%CI 1.89 to 5.50; p-value < 0.01). Children with preexisting comorbidities did not require ICU admission more often. Hospitalised children more often presented with fever (96 [76.2%] vs 209 [38.1%], p-value < 0.01) and rash (16 [12.8%] vs 6 [1.1%], p-value < 0.01). Anosmia/dysgeusia was more prevalent in non-hospitalised children (73 [13.3%] vs 3 [2.4%], p-value < 0.01). In hospitalised children, oxygen treatment was required in 34 (27.0%), inotropes in nine (7.3%) and mechanical ventilation in eight (6.3%) cases. Complications were reported in 28 (4.1%) children with cardiovascular complications being most frequent (12 [1.8%]). Three deaths were recorded.Conclusion: This study confirms that COVID-19 is mostly a mild disease in children. Fever, rash and comorbidities are associated with higher admission rates. Continuous observation is necessary to further understand paediatric COVID-19, guide therapy and evaluate the necessity for vaccination in children. What is Known: * Clinical manifestations of SARS-CoV-2 infection in children vary from asymptomatic to critical disease requiring intensive care unit admission. * Most studies are based on hospitalised children only; currently, there is limited data on non-hospitalised children. What is New: * The clinical spectrum and severity of COVID-19 is influenced by age: in children less than 2 years, fever, cough and rhinorrhoea are the most common symptoms and in adolescents, fever, cough and headache are more common. * Hospitalised children more often presented with fever and rash, while anosmia/dysgeusia is more prevalent in non-hospitalised children. * Children with pre-existing comorbidities are more frequently hospitalised but do not require ICU admission more often.",rash
34842283,Cutaneous manifestations of PIMS-TS: a single centre experience.,Br J Dermatol,"Paediatric inflammatory multisystem syndrome associated with severe acute respiratory syndrome-coronavirus 2 (SARS-CoV-2) infection (PIMS-TS) is defined as 'a child presenting with persistent fever, inflammation and evidence of single or multi-organ dysfunction with additional features which include a rash'.(1) The World Health Organisation's (WHO) definition further includes a 'rash or bilateral non-purulent conjunctivitis or muco-cutaneous inflammation signs'.(2) Previously reported mucocutaneous manifestations (MCM) in PIMS-TS have been vague. This study aimed to delineate the MCM of children presenting with PIMS-TS in more detail.",rash
34838782,Immunogenicity trends one and three months after second BNT162B2 vaccination among healthcare workers in Israel.,Clin Microbiol Infect,"OBJECTIVES: We evaluated antibody response to the BNT162B2 vaccine among healthcare workers (HCWs) to identify factors associated with decreased immunogenicity. METHODS: This prospective cohort study included consenting HCWs who completed a questionnaire regarding background illnesses, medications, and post vaccination allergic reactions or rash. All HCWs were tested for anti-spike antibodies (LIAISON SARS-CoV-2 S1/S2 IgG assay) one and three months after second vaccine dose. A multivariate mixed linear model was adjusted to participant's data and fit to predict antibody levels after second BNT162B2 vaccine dose, based on antibody levels at 1 month and the slope between 3 and 1 month. Multivariate analyses identified factors associated with lower antibody levels. RESULTS: A total of 1,506 HCWs were tested for SARS-CoV-2 antibodies. Older age was associated with lower mean antibody levels (-1.22 AU/ml, p <0.001, 95% CI -1.43 - -1.01). In addition, male (-22.16AU/ml, p <0.001, 95% CI -27.93 - -16.39), underlying condition (-10.86AU/ml, p= 0.007, 95% CI -18.81 - -2.91) and immunosuppressive treatment (-28.57AU/ml, p = 0.002, 95% CI -46.85 - -10.29) were associated with significantly lower mean antibody levels. Allergic reactions after vaccine administration or peri vaccination GCS treatment were not correlated with antibody levels. CONCLUSIONS: Most HCWs had measurable antibodies at 3 months. Risk factors for lower antibody levels were older age, male sex, underlying condition, and immunosuppressive treatment. These factors may be considered when planning booster doses during vaccine shortage.",rash
34836866,Post-vaccination (COVID-19) impacts in healthcare personnel.,Pak J Pharm Sci,"The COVID-19 pandemic has brought attention back to its spread in medical staff. A survey-based study was conducted to combine general information related to COVID-19 exposures, acceptances, vaccines received, and side effects. The majority (62.3%) of healthcare professionals had acquired COVID-19 infection from hospital environment (51.5%) mainly who treated (64%) COVID-19 patients. 54% healthcare respondents expressed 'high acceptance' towards COVID-19 vaccines. 88% received COVID-19 vaccination. The majority of healthcare personnel received SinoPharm (65%). 82.3% did not acquire COVID-19 post-vaccination. 38% mild side effects were observed from vaccination. Following were the general side-effects: myalgia (18.2%), the feeling of sickness (16%), fever (15.6%), dizziness (7.8%), joint pain (7.4%), chills (4.8%), and flu (4.8%). Following were the common neurological side-effects reported: headache (18.2%), fatigue (16.5%), muscle pain (16%), numbness/tingling (3%), and migraine (2.6%). Nausea and diarrhoea were reported in only 3.5% of respondents. Bad taste was reported in only 3% of respondents. The 1.7% reported rash and itching. The majority of the healthcare professionals did not report significant side effects related to neurological, gastroenterological, skin and oral categories. To assess the vaccines' potential for substantial and long-term or chronic effects, more study with a larger sample size and a longer follow-up time is required.",rash
34830627,Cutaneous Adverse Reactions Associated with SARS-CoV-2 Vaccines.,J Clin Med,"Many patients are receiving SARS-CoV-2 vaccinations, which have been associated with a variety of adverse effects. Cutaneous adverse reactions to SARS-CoV-2 vaccinations have been progressively reported, but they have not been reviewed according to their morphological clinical patterns. The objective of this review was to summarize the existing data concerning the cutaneous adverse reactions following SARS-CoV-2 vaccines and group them according to common morphological and pathogenetic patterns. We reviewed the English language literature up to 15 August 2021, using predefined keywords to identify the relevant studies evaluating cutaneous adverse reactions associated with SARS-CoV-2 vaccines. We search for recurrent morphological patterns sharing clinical signs and symptoms and physio-pathological mechanisms. Timing to onset following the first or booster dose of the vaccine, predisposing conditions, therapeutic management, and outcome were also collected. Among the dermatological manifestations associated with SARS-CoV-2 vaccinations, we distinguished: (1) new onset reactions and (2) flares of preexisting dermatoses. The most common were injection site reactions, affecting 30-70% and generally mild or moderate. Small case series or single case reports included filler reactions, exanthemas, vascular lesions, urticaria, eczematous dermatitis, autoimmune bullous reactions, and severe cutaneous adverse reactions. In addition, the exacerbation of chronic immuno-mediated dermatoses (mainly psoriasis and atopic dermatitis) and reactivations of herpes infection were reported. The cutaneous reactions were generally mild, self-limiting, and resembled common cutaneous drug eruptions and/or COVID-19 skin manifestations.",rash
34820975,Cutaneous adverse events related to COVID-19 vaccines: A cross-sectional questionnaire-based study of 867 patients.,Dermatol Ther,"Considering the emergency approval of the Food and Drug Administration for widespread use of coronavirus disease 2019 (COVID-19) vaccines, evaluating potential vaccine-related adverse effects is critical as it will allow physicians to diagnose and manage these complications properly. In this descriptive cross-sectional questionnaire-based study, we evaluated the possible side effects of the COVID-19 vaccine from June 1, 2021 to June 21, 2021. The Iranian population is generally vaccinated with AstraZeneca, Sputnik V, Sinopharm, and Bharat vaccines. The continuous and categorical variables were described and data analyzed by the SPSS software version 25. Cutaneous reactions occurred in 30% of individuals vaccinated against COVID-19. The most common cutaneous complications were focal injection site reaction, exanthematous rash, and urticaria. There were infrequent cutaneous adverse events that included vesicular eruption, pernio-like lesions, angioedema, erythema multiforme-like eruption, and zoster. Acquainting physicians with COVID-19 vaccine-related cutaneous complications will assist them in detection and management. In addition, introducing these complications to individuals might improve acceptance of vaccine-related adverse effects in the general population.",rash
34820228,"Dermatological Manifestations of COVID-19 in Patients Reporting to a Tertiary Care Hospital in Rawalpindi, Pakistan.",Cureus,"Introduction The clinicopathological description of dermatological manifestations of COVID-19 leaves much to be desired. There is a need to determine their association with disease severity, outcome, and other clinical variables. Objectives The objectives of this study are to record and histopathologically examine the cutaneous manifestations of COVID-19 and correlate these to age, disease severity, and mortality. Methods All confirmed COVID-19 patients admitted to a single tertiary healthcare hospital in Rawalpindi, Pakistan, were included. Their diseases were classified as mild, moderate, severe, and critical. The recent onset skin eruptions in these patients were recorded via photographs along with relevant clinical data. The photographs were independently reviewed by a group of three dermatologists without knowledge of the clinical information. The skin manifestations were divided into disease-specific and nonspecific categories using an already defined algorithm. Histopathological examination of skin manifestations was conducted. Results A total of 23% (n=47) had ""new"" skin manifestations. Specific skin findings were seen in 21.6% (n=44), which consisted of ecchymosis/purpura in 50% (n=22), maculopapular exanthem in 18% (n=8), livedo reticularis in 16.2% (n=7), ischemia/gangrene in 16.2% (n=7), perniosis in 15.9 % (n=7), vesiculo-bullous rash in 9% (n=4) and urticaria in 4% (n=1). Non-specific findings were seen in 6% (n=13) and included bedsores, dermatitis passivata, dryness, herpes labialis, oral ulcerations, and nasogastric tube-induced ulcerations. There was a significant association (p=0.03) between disease severity and specific skin lesions. Ischemia/gangrene was significantly associated with COVID-19 disease severity and mortality. Vesiculobullous lesions were associated with higher mortality, though not with disease severity. Livedo reticularis had a higher-than-expected count in critical disease, albeit statistically insignificant. The association of maculopapular exanthem and ecchymosis/purpura with severe/critical disease was statistically insignificant. Urticaria was significantly associated with low disease severity. Mean age with specific manifestations was 56.86 +/- 15.81 and with nonspecific/without any manifestations was 42.58 +/- 16.96, a highly significant difference, with p-value < 0.001. Old age (>60 years) was significantly associated with ecchymosis (p=0.038), maculopapular exanthem (p=0.021), and vesiculo-bullous rash (p=0.029). Histopathology varied according to the type of skin lesion. Conclusions Dermatological manifestations coexist in many patients and tend to appear more in severe cases of COVID-19 among the older age group and only minimally in mild/moderate cases. Their presence could help set prognostic criteria of COVID-19 disease in the future.",rash
34817811,Pediatric Inflammatory Multisystem Syndrome Temporally Associated with SARS-CoV-2.,Indian J Pediatr,"OBJECTIVES: To know the clinical presentation and outcome of children with pediatric inflammatory multisystem syndrome temporally associated with SARS-CoV- 2 (PIMS-TS) at a pediatric tertiary care center in Chennai. METHODS: Clinical and biochemical parameters of 65 children with PIMS-TS treated between July and October 2020 were studied. All children had their COVID RT-PCR and IgG COVID antibodies tests done. RESULTS: Mean age of the study group was 5.65 +/- 3.68 y. Fever with red eyes, rash, vomiting, abdominal pain, and shock were common presenting features. Sixty percent of the study group had Kawasaki/incomplete Kawasaki features. Sixty-seven percent of the study group had coronary dilatation, 41% presented with shock, and 25% had left ventricular dysfunction. Coronary aneurysms were documented in 58% of the study group (z score more than 2.5). Respiratory presentation with pneumonia was seen in 10%. Four children presented with acute abdomen. Acute kidney injury, acute liver failure, hemolysis, pancytopenia, macrophage activation syndrome, encephalopathy, and multiorgan dysfunction syndrome (MODS) were other features. Forty-three percent required noninvasive oxygen support and 15.4% required mechanical ventilation. Intravenous immunoglobulin (73.8%) and methylprednisolone (49.8%) were used for therapy. Mortality in the study was 6%, which was due to MODS. CONCLUSIONS: Acute febrile illness with mucocutaneous and gastrointestinal manifestations should have PIMS-TS as a possible differential diagnosis and needs evaluation with inflammatory markers and SARS-CoV-2 antibodies.",rash
34815671,Safety of Chloroquine or Hydroxychloroquine Plus Azithromycin for the Treatment of COVID-19 Patients in Burkina Faso: An Observational Prospective Cohort Study.,Ther Clin Risk Manag,"Introduction: Though chloroquine derivatives are used in the treatment of coronavirus disease 2019 (COVID-19) in many countries worldwide, doubts remain about the safety and efficacy of these drugs, especially in African communities where published data are scarce. Methods: We conducted an observational prospective cohort study from April 24 to September 03, 2020, in Burkina Faso to assess (as primary outcome) the clinical, biological, and cardiac (electrocardiographic) safety of chloroquine or hydroxychloroquine plus azithromycin administered to COVID-19 patients. The main secondary outcomes were all-cause mortality and median time of viral clearance. Results: A total of 153 patients were enrolled and followed for 21 days. Among patients who took at least one dose of chloroquine or hydroxychloroquine (90.1% [138/153]), few clinical adverse events were reported and were mainly rash/pruritus, diarrhea, chest pain, and palpitations. No statistically significant increase in hepatic, renal, and hematological parameters or electrolyte disorders were reported. However, there was a significant increase in the QTc value without exceeding 500ms, especially in those who received chloroquine phosphate. Three adverse events of special interest classified as serious (known from chloroquine derivatives) were recorded namely pruritus, paresthesia, and drowsiness. One case of death occurred. The average onset of SARS-CoV-2 PCR negativity was estimated at 7.0 (95% CI: 5.0-10.0) days. Conclusion: Hydroxychloroquine appeared to be well tolerated in treated COVID-19 patients in Burkina Faso. In the absence of a robust methodological approach that could generate a high level of scientific evidence, our results could at least contribute to guide health decisions that should be made based on different sources of scientific evidence including those from our study.",rash
34813439,Atypical Presentation of Aseptic Meningitis Due to Varicella Zoster: A Case Report.,Clin Pract Cases Emerg Med,"INTRODUCTION: Varicella zoster virus (VZV) meningitis is primarily an infection of the immuno-compromised. However, it can also affect immunocompetent individuals. Reactivation of VZV typically presents with a distinct dermatomal rash suggestive of varicella zoster, but there have also been reports of VZV meningitis presenting without a rash. CASE REPORT: We describe a case of VZV meningitis in a healthy, 30-year-old male presenting to the emergency department shortly after receiving his first coronavirus disease 2019 vaccination. He was treated with intravenous acyclovir and then discharged home on oral valacyclovir. CONCLUSION: Emergency physicians should consider aseptic meningitis in immunocompetent patients presenting with atypical headaches in this population.",rash
34811980,Safety Monitoring after the BNT162b2 COVID-19 Vaccine among Adults Aged 75 Years or Older.,J Korean Med Sci,"BACKGROUND: Older adults are given high priority for coronavirus disease 2019 (COVID-19) vaccination; however, little is known about the safety of vaccines. This study was conducted to examine the safety of the COVID-19 vaccine for people who were >/= 75 years of age, specifically those who first took two doses of the vaccine at the COVID-19 central vaccination center in South Korea. METHODS: Safety monitoring after the BNT162b2 vaccine was conducted in three ways for older adults who received the first dose of the vaccine at our center between April 5 and April 23, 2021. For immediate adverse reactions, every person who was vaccinated was observed for 15-30 minutes after injection at the center. For active surveillance, a telephone interview was conducted for stratified randomly sampled people after 7 days of each vaccination to enquire regarding types of adverse reactions they experienced, and its severity and duration. For passive surveillance, reported adverse event data were collected from the COVID-19 vaccine adverse event following immunization (AEFI) surveillance system-run by the Korea Disease Control and Prevention Agency (KDCA). The data were then reviewed. RESULTS: In total, 2,123 older adults received at least one vaccine dose during the study period. The frequency of acute adverse reactions that developed during the observed 15-30 minutes after injection was 8.5 cases per 1,000 doses. None of the reactions was assessed as acute allergic reactions to the vaccine and no cases required special treatment or drug administration. Overall, 638 people were followed up at least once by telephone interview 7 days post vaccination. The overall response rate was 82.3%. The rates of local reactions were 50.3% after the first dose and 45.2% after the second dose, and the rates of systemic reactions were 15.2% and 26.0%, respectively. During the study period, 23 medically attended adverse events (5.4 cases per 1,000 administered doses) were reported to the KDCA AEFI surveillance system. The most common symptoms of medically attended cases were nonspecific general weakness (26%) and dizziness (26%), followed by muscle pain (22%), headache (13%), fever (13%), and skin rash or urticaria (13%). Among them, there were five serious adverse events reported, which required hospitalization, including one death. However, most of them were not related to the vaccines. CONCLUSION: BNT162b2 vaccination was tolerable among adults who were >/= 75 years of age.",rash
34811978,Multisystem Inflammatory Syndrome in an Adult after COVID-19 Vaccination: a Case Report and Literature Review.,J Korean Med Sci,"As the number of people vaccinated increases, people who complain of adverse reactions continue to occur. We experienced a case characterized by low blood pressure, persistent fever, edema due to increased systemic vascular permeability, and systemic inflammation confirmed by image and laboratory examinations after ChAdOx1 coronavirus disease 2019 (COVID-19) vaccination. The diagnostic criteria for multisystem inflammatory syndrome (MIS) in adults are known as fever of 3 days or more in adults, 2 or more mucocutaneous/gastrointestinal/neurologic symptoms, elevation of inflammatory markers, and clinical/imaging diagnosis of heart failure. A 67-year-old man who was medicated for hypertension and diabetes was admitted complaining of fever, maculopapular rash, diarrhea, headache, chills, and dizziness 6 days after the first vaccination of ChAdOx1 nCoV-19 in Korea. The COVID-19 test was negative but with low blood pressure, leukocytosis, skin rash, pulmonary edema, and increased inflammation markers. His lab findings and clinical course were consistent with those of MIS after COVID-19 vaccination. He was medicated with methylprednisolone 1 mg/kg and diuretics and recovered rapidly. He was discharged after 2 weeks and confirmed cure at outpatient clinic. We report an MIS case after COVID-19 vaccination in Korea.",rash
34807403,Herpes zoster and COVID-19 infection: a coincidence or a causal relationship?,Infection,"The first cases of COVID-19 were reported in Wuhan, China, in December 2019. Skin manifestations of COVID-19 vary, among which herpes zoster has recently been found to be associated with the infection. We studied the available literature regarding COVID-19-associated herpes zoster (HZ). We searched the PubMed and Scopus databases for available literature till 20th of May 2021 using the following terms: 'Herpes zoster' or 'Varicella zoster virus' and ""COVID-19"" or ""coronavirus disease"" or ""SARS-CoV-2"". This search revealed 87 publications, of which 29 articles met the inclusion criteria. A total of 29 patients had HZ associated with COVID-19 infection. The patients' ages ranged from 7 to 82 years, averaging 56 years. Thirteen patients (45%) were men and 16 (55%) women. We summarized the demographic data, clinical data, comorbidities, treatment used, lymphocyte count, and distribution and timeline of HZ rash in COVID patients. Lymphopenia was prevalent in 86.6% of patients (where lymphocyte data were available). We discuss possible causes of HZ due to COVID-19. More and larger studies are needed to confirm any relationship between these two infections; however, this study may pave the way for similar studies on this topic.",rash
34806053,"Telemedicine for healthcare: Capabilities, features, barriers, and applications.",Sens Int,"Regular hospital visits can be expensive, particularly in rural areas, due to travel costs. In the era of the Covid-19 Pandemic, where physical interaction becomes risky, people prefer telemedicine. Fortunately, medical visits can be reduced when telemedicine services are used through video conferencing or other virtual technologies. Thus, telemedicine saves both the patient's and the health care provider time and the cost of the treatment. Furthermore, due to its fast and advantageous characteristics, it can streamline the workflow of hospitals and clinics. This disruptive technology would make it easier to monitor discharged patients and manage their recovery. As a result, it is sufficient to state that telemedicine can create a win-win situation. This paper aims to explore the significant capabilities, features with treatment workflow, and barriers to the adoption of telemedicine in Healthcare. The paper identifies seventeen significant applications of telemedicine in Healthcare. Telemedicine is described as a medical practitioner to diagnose and treat patients in a remote area. Using health apps for scheduled follow-up visits makes doctors and patients more effective and improves the probability of follow-up, reducing missing appointments and optimising patient outcomes. Patients should have an accurate medical history and show the doctor any prominent rashes, bruises, or other signs that need attention through the excellent quality audio-video system. Further, practitioners need file management and a payment gateway system. Telemedicine technologies allow patients and doctors both to review the treatment process. However, this technology supplements physical consultation and is in no way a substitute for a physical consultation. Today this technology is a safe choice for patients who cannot go to the doctor or sit at home, especially during a pandemic.",rash
